JobName;Odate;OrderId;Status;StartTime;EndTime;AverageRuntime;Deleted;RerunCounter
A00NAH02;161201;0imah;Ended OK;20161201223759;20161201223759;000000;0;1
A00NAH02;161201;2214l;Ended OK;20161201223502;20161201223502;000000;0;1
A00NCH02;161201;0imag;Ended OK;20161201223715;20161201223715;000000;0;1
A00NCH02;161201;2214k;Ended OK;20161201223426;20161201223426;000000;0;1
AGI_B11000;161201;0ilgd;Ended OK;20161202050119;20161202050120;000000;0;1
AGI_B11P01;161201;0ilge;Ended OK;20161202050158;20161202050229;000000;0;1
AGI_B11P02;161201;0ilgf;Ended OK;20161202050236;20161202050307;000000;0;1
AGI_B11Q01;161201;0ilgg;Ended OK;20161202050312;20161202050350;000002;0;1
AGI_B11T01;161201;0ilgh;Ended OK;20161201180104;20161201180105;000000;0;1
AGI_B11U01;161201;0ilgi;Ended OK;20161202050037;20161202050037;000000;0;1
AGI_B12999;161201;0imal;Ended OK;20161202050436;20161202050436;000000;0;1
AGI_B12I03;161201;0imak;Ended OK;20161202050358;20161202050428;000000;0;1
AGI_J11DEB;161201;0ilgj;Ended OK;20161201150148;20161201150148;000000;0;1
AGI_J11FIN;161201;0ilgk;Ended OK;20161202054556;20161202054558;000000;0;1
AGI_J12000;161201;0ilgl;Ended OK;20161202054811;20161202054812;000000;0;1
AGI_J12301;161201;0ilgo;Ended OK;20161202055158;20161202055200;000727;0;1
AGI_J12302;161201;0ilgp;Ended OK;20161202055240;20161202055319;000002;0;1
AGI_J12999;161201;0ilgq;Ended OK;20161202055322;20161202055324;000000;0;1
AGI_J12I01;161201;0ilgm;Ended OK;20161202055031;20161202055032;000000;0;1
AGI_J12J01;161201;0ilgn;Ended OK;20161202055114;20161202055152;000001;0;1
AGI_J12T01;161201;0ilgr;Ended OK;20161201180109;20161201180111;000000;0;1
ANA_E8A000;161201;2213j;Ended OK;20161201190054;20161201190054;000000;0;1
ANA_E8A101;161201;2213q;Ended OK;20161201190108;20161201190108;000251;0;1
ANA_E8A102;161201;2213r;Ended OK;20161201190125;20161201190125;000000;0;1
ANA_E8A103;161201;2213s;Ended OK;20161201190125;20161201190125;000000;0;1
ANA_E8A104;161201;2213t;Ended OK;20161201190137;20161201190137;000000;0;1
ANA_E8A999;161201;2213w;Ended OK;20161201190215;20161201190215;000000;0;1
ANA_E8AD01;161201;2213v;Ended OK;20161201190202;20161201190202;000000;0;1
ANA_E8AT01;161201;2213x;Ended OK;20161201180003;20161201180003;000000;0;1
ANA_E8AW01;161201;2213k;Ended OK;20161201185507;20161201185508;000000;0;1
ANA_E8AW02;161201;2213l;Ended OK;20161201185507;20161201185508;000000;0;1
ANA_E8AW03;161201;2213m;Ended OK;20161201185507;20161201185508;000000;0;1
ANA_E8AW04;161201;2213n;Ended OK;20161201185508;20161201185508;000000;0;1
ANA_E8AW05;161201;2213o;Ended OK;20161201185508;20161201185508;000000;0;1
ANA_E8AW06;161201;2213p;Ended OK;20161201185508;20161201185508;000000;0;1
ANA_E8AW07;161201;2213u;Ended OK;20161201190149;20161201190150;000000;0;1
ANA_E8B000;161201;2213b;Ended OK;20161202054637;20161202054637;000000;0;1
ANA_E8B201;161201;2213c;Ended OK;20161202054652;20161202054652;000000;0;1
ANA_E8B202;161201;2213d;Ended OK;20161202054705;20161202054705;000000;0;1
ANA_E8B203;161201;2213e;Ended OK;20161202054719;20161202054719;135006;0;1
ANA_E8B204;161201;2213f;Ended OK;20161202054719;20161202054719;135007;0;1
ANA_E8B205;161201;2213g;Ended OK;20161202054720;20161202054720;000000;0;1
ANA_E8B999;161201;2213h;Ended OK;20161202054720;20161202054720;000000;0;1
ANA_E8BT01;161201;2213i;Ended OK;20161201180003;20161201180003;000000;0;1
ANA_J81000;161201;2212d;Ended OK;20161201202410;20161201202411;000000;0;1
ANA_J81999;161201;22139;Ended OK;20161201202445;20161201202446;000000;0;1
ANA_J81T01;161201;2213a;Ended OK;20161201180003;20161201180003;000000;0;1
ANA_J81X01;161201;2212e;Ended OK;20161201202423;20161201202439;000005;0;1
ANA_J81X02;161201;2212f;Ended OK;20161201202423;20161201202439;000005;0;1
ANA_J81X03;161201;2212g;Ended OK;20161201202423;20161201202439;000005;0;1
ANA_J81X04;161201;2212h;Ended OK;20161201202423;20161201202440;000005;0;1
ANA_J81X05;161201;2212i;Ended OK;20161201202423;20161201202440;000005;0;1
ANA_J81X06;161201;2212j;Ended OK;20161201202423;20161201202440;000005;0;1
ANA_J81X07;161201;2212k;Ended OK;20161201202424;20161201202440;000005;0;1
ANA_J81X09;161201;2212l;Ended OK;20161201202424;20161201202425;000000;0;1
ANA_J81X10;161201;2212m;Ended OK;20161201202424;20161201202440;000005;0;1
ANA_J81X11;161201;2212n;Ended OK;20161201202424;20161201202441;000005;0;1
ANA_J81X12;161201;2212o;Ended OK;20161201202424;20161201202441;000005;0;1
ANA_J81X13;161201;2212p;Ended OK;20161201202425;20161201202425;000005;0;1
ANA_J81X14;161201;2212q;Ended OK;20161201202425;20161201202441;000005;0;1
ANA_J81X15;161201;2212r;Ended OK;20161201202425;20161201202441;000005;0;1
ANA_J81X16;161201;2212s;Ended OK;20161201202425;20161201202441;000005;0;1
ANA_J81X17;161201;2212t;Ended OK;20161201202425;20161201202442;000005;0;1
ANA_J81X18;161201;2212u;Ended OK;20161201202425;20161201202442;000005;0;1
ANA_J81X19;161201;2212v;Ended OK;20161201202425;20161201202442;000005;0;1
ANA_J81X20;161201;2212w;Ended OK;20161201202427;20161201202442;000004;0;1
ANA_J81X21;161201;2212x;Ended OK;20161201202427;20161201202442;000004;0;1
ANA_J81X22;161201;2212y;Ended OK;20161201202427;20161201202428;000004;0;1
ANA_J81X23;161201;2212z;Ended OK;20161201202427;20161201202429;000004;0;1
ANA_J81X24;161201;22130;Ended OK;20161201202427;20161201202429;000004;0;1
ANA_J81X25;161201;22131;Ended OK;20161201202427;20161201202429;000004;0;1
ANA_J81X26;161201;22132;Ended OK;20161201202427;20161201202429;000004;0;1
ANA_J81X27;161201;22133;Ended OK;20161201202428;20161201202429;000004;0;1
ANA_J81X28;161201;22134;Ended OK;20161201202428;20161201202429;000004;0;1
ANA_J81X29;161201;22135;Ended OK;20161201202428;20161201202443;000004;0;1
ANA_J81X30;161201;22136;Ended OK;20161201202428;20161201202443;000004;0;1
ANA_J81X31;161201;22137;Ended OK;20161201202428;20161201202429;000004;0;1
